GenerationIndex,GenerationTotalPackets,GenerationRedundancyUsed,MissedPackets,ReceivedPackets,RngResolution,PacketErrorRate,ConfiguredPacketErrorRate,Success,TriggeredByDecodingResult,TriggeredByCompleteLoss,Rank
0,20,20,0,20,20,0,0,True,True,False,20
1,20,20,0,20,20,0,0,True,True,False,20
2,20,20,0,20,20,0,0,True,True,False,20
3,20,20,0,20,20,0,0,True,True,False,20
4,20,20,0,20,20,0,0,True,True,False,20
5,20,20,0,20,20,0,0,True,True,False,20
6,20,20,0,20,20,0,0,True,True,False,20
7,20,20,0,20,20,0,0,True,True,False,20
8,20,20,0,20,20,0,0,True,True,False,20
9,20,20,0,20,20,0,0,True,True,False,20
10,20,20,0,20,20,0,0,True,True,False,20
11,20,20,0,20,20,0,0,True,True,False,20
12,20,20,0,20,20,0,0,False,True,False,20
13,20,20,0,20,20,0,0,False,True,False,20
14,20,20,0,20,20,0,0,False,True,False,20
0,20,20,0,20,20,0,0.05,True,True,False,20
1,20,20,1,19,20,0.05,0.05,False,True,False,20
2,20,20,1,19,20,0.05,0.05,False,True,False,20
3,20,20,1,19,20,0.05,0.05,False,True,False,20
4,20,20,1,19,20,0.05,0.05,False,True,False,20
5,20,20,1,19,20,0.05,0.05,False,True,False,20
6,20,20,0,20,20,0,0.05,True,True,False,20
7,20,20,1,19,20,0.05,0.05,False,True,False,20
8,20,20,1,19,20,0.05,0.05,False,True,False,20
9,20,20,1,19,20,0.05,0.05,False,True,False,20
10,20,20,2,18,20,0.1,0.05,False,True,False,19
11,20,20,1,19,20,0.05,0.05,False,True,False,20
12,20,20,2,18,20,0.1,0.05,False,True,False,19
13,20,20,3,17,20,0.15,0.05,False,True,False,18
14,20,20,1,19,20,0.05,0.05,False,True,False,20
0,20,20,2,18,20,0.1,0.1,False,True,False,19
1,20,20,5,15,20,0.25,0.1,False,True,False,16
2,20,20,1,19,20,0.05,0.1,False,True,False,20
3,20,20,1,19,20,0.05,0.1,False,True,False,20
4,20,20,2,18,20,0.1,0.1,False,True,False,19
5,20,20,4,16,20,0.2,0.1,False,True,False,17
6,20,20,3,17,20,0.15,0.1,False,True,False,18
7,40,20,6,34,40,0.15,0.1,True,False,False,0
8,20,20,1,19,20,0.05,0.1,False,True,False,20
9,20,20,1,19,20,0.05,0.1,False,True,False,20
10,20,20,3,17,20,0.15,0.1,False,True,False,18
11,20,20,1,19,20,0.05,0.1,False,True,False,20
12,20,20,3,17,20,0.15,0.1,False,True,False,18
13,20,20,1,19,20,0.05,0.1,False,True,False,20
14,20,20,2,18,20,0.1,0.1,False,True,False,19
0,20,20,1,19,20,0.05,0.15,False,True,False,20
1,20,20,1,19,20,0.05,0.15,False,True,False,20
2,20,20,1,19,20,0.05,0.15,False,True,False,20
3,20,20,1,19,20,0.05,0.15,False,True,False,20
4,20,20,3,17,20,0.15,0.15,False,True,False,18
5,20,20,3,17,20,0.15,0.15,False,True,False,18
6,20,20,2,18,20,0.1,0.15,False,True,False,19
7,20,20,2,18,20,0.1,0.15,False,True,False,19
8,20,20,6,14,20,0.3,0.15,False,True,False,15
9,20,20,4,16,20,0.2,0.15,False,True,False,17
10,20,20,2,18,20,0.1,0.15,False,True,False,19
11,40,20,8,32,40,0.2,0.15,True,False,False,0
12,20,20,2,18,20,0.1,0.15,False,True,False,19
